,video_idx,occlusion_accuracy,average_jaccard,average_pts_within_thresh
0,25,0.86407,0.52461,0.71564
1,7,0.84293,0.62454,0.82839
2,20,0.83599,0.5811,0.77156
3,1,0.83536,0.55336,0.77867
4,26,0.92519,0.72271,0.84825
5,5,0.87887,0.60303,0.8446
6,2,0.69653,0.37687,0.72344
7,19,0.82501,0.47515,0.70126
8,6,0.85056,0.63005,0.80656
9,22,0.79057,0.54181,0.76219
10,8,0.88787,0.69386,0.84002
11,28,0.93551,0.73576,0.84587
12,0,0.99963,0.64083,0.72042
13,9,0.69041,0.29614,0.5251
14,27,0.87957,0.62347,0.7801
15,23,0.88914,0.70477,0.8492
16,14,0.95139,0.64647,0.75761
17,13,0.89146,0.59985,0.72462
18,29,0.96237,0.78638,0.87435
19,17,0.89871,0.61162,0.75912
20,4,0.87391,0.66864,0.88173
21,11,0.79149,0.57035,0.7935
22,16,1.0,0.94087,0.96645
23,10,0.94926,0.76182,0.86853
24,3,0.91635,0.75579,0.8585
25,21,0.98371,0.84777,0.90917
26,24,0.94805,0.8512,0.9379
27,15,0.96577,0.80356,0.87399
28,18,0.81178,0.52368,0.71774
29,12,0.99365,0.88775,0.93579
30,average,0.8855,0.65279,0.80668
